source_asset_file	source_type	source_path_id	source_name	original_width	original_height	replacement_file	replacement_width	replacement_height	size_match	replacement_sha256	status	notes
sharedassets1.assets	Sprite	245	unnamed_245	357	466	sharedassets1__Sprite__245__unnamed_245.png	357	466	true	b37cd99b740d07983587ced43330211db35a76f3b0b6ef4f93691598ba9ddc29	unsupported_type	offline patcher currently applies Texture2D only; Sprite row kept for review/runtime architecture decision
sharedassets1.assets	Sprite	248	unnamed_248	305	399	sharedassets1__Sprite__248__unnamed_248.png	305	399	true	4ddacb2e1a0146ef4a9c63c0a8442f5da5046db3bcede36bf780f683ed0387c1	unsupported_type	offline patcher currently applies Texture2D only; Sprite row kept for review/runtime architecture decision
sharedassets1.assets	Sprite	264	unnamed_264	867	340	sharedassets1__Sprite__264__unnamed_264.png	867	340	true	a43fc09cfd93cc5644e5f37f1e8f2b801368ed33ea20e3b65346b82993a63fdb	unsupported_type	offline patcher currently applies Texture2D only; Sprite row kept for review/runtime architecture decision
sharedassets1.assets	Sprite	305	unnamed_305	110	112	sharedassets1__Sprite__305__unnamed_305.png	110	112	true	61f06cb622eaf6c26c6fa77391c77d5f021853e1952ca433b4fc611d3c8cf700	unsupported_type	offline patcher currently applies Texture2D only; Sprite row kept for review/runtime architecture decision
sharedassets1.assets	Sprite	308	unnamed_308	128	39	sharedassets1__Sprite__308__unnamed_308.png	128	39	true	d1981a5f700cc26a0e40d74badd43b7166013500e86fb4da5cd20425ffd75a84	unsupported_type	offline patcher currently applies Texture2D only; Sprite row kept for review/runtime architecture decision
sharedassets1.assets	Texture2D	106	unnamed_106	128	128	sharedassets1__Texture2D__106__unnamed_106.png	128	128	true	010519d19eca502c16c5ac7c688774453b9cdce4a6e062ba660c1d19202f66b6	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
sharedassets1.assets	Texture2D	109	unnamed_109	128	128	sharedassets1__Texture2D__109__unnamed_109.png	128	128	true	7b70065ed812f145596aecdd1f6292c33d95b71b20f5d93c1f4e091284a311cc	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
sharedassets1.assets	Texture2D	25	unnamed_25	373	512	sharedassets1__Texture2D__25__unnamed_25.png	373	512	true	6cc892c255feca2dfda9e5cdc105163e3747084dc421b90a5e78ecf255d79e19	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
sharedassets1.assets	Texture2D	28	unnamed_28	341	512	sharedassets1__Texture2D__28__unnamed_28.png	341	512	true	91521a86d6b7b50bfedee2189879add474b342df88579e21ccaf091deae04391	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
sharedassets1.assets	Texture2D	50	unnamed_50	1024	1024	sharedassets1__Texture2D__50__unnamed_50.png	1024	1024	true	1a53b9bb1d37da75a78f21662a9015825f1002c0178ef47048eebf14b5e2f1a8	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
sharedassets3.assets	Sprite	376	unnamed_376	236	250	sharedassets3__Sprite__376__unnamed_376.png	128	128	false	8d76c759d674ee48a5fb5a88908a18545515a3c2de0ce1a2b9ace4645eae868c	unsupported_type	offline patcher currently applies Texture2D only; Sprite row kept for review/runtime architecture decision
sharedassets3.assets	Sprite	380	unnamed_380	246	122	sharedassets3__Sprite__380__unnamed_380.png	246	122	true	556475b6cbeb1dbb04c9459ea73a78da9b49e4cb5ea9e8b0faeceef43d5c5b35	unsupported_type	offline patcher currently applies Texture2D only; Sprite row kept for review/runtime architecture decision
sharedassets3.assets	Texture2D	114	unnamed_114	256	256	sharedassets3__Texture2D__114__unnamed_114.png	256	256	true	c1e0e89f5a7284ab836e391f1544ef4a29cf63686fb76abaf4129b6e70578f9d	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
sharedassets3.assets	Texture2D	130	unnamed_130	1024	512	sharedassets3__Texture2D__130__unnamed_130.png	1024	512	true	1364d7a6475db95b891c31504f8fedfc34bf2ad0bb7c6eade907d6b428813ebc	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
sharedassets3.assets	Texture2D	140	unnamed_140	128	128	sharedassets3__Texture2D__140__unnamed_140.png	128	128	true	39ba7cca6d53e74484cdf0e17aa941d9102d4df6bf2cad267ac69fb4234d81a5	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
sharedassets4.assets	Texture2D	204	unnamed_204	256	256	sharedassets4__Texture2D__204__unnamed_204.png	256	256	true	376f4a9cb4982532052f69326990cfd437753744b937d360748c3b13da5bc861	approved	Texture2D dimensions match original metadata; eligible for offline static patch payload
